Institution,State,No. of visas revoked,Source link
Berklee College of Music,Massachusetts,3,"<a  href=""https://www.bostonglobe.com/2025/04/07/metro/emerson-student-visa-revoked/"">Click  here</a>"
Boston  University,Massachusetts,unknown,"<a  href=""https://www.masslive.com/news/2025/04/trump-administration-revokes-students-visas-at-6-mass-colleges.html"">Click  here</a>"
Bridgewater State University,Massachusetts,1,"<a  href=""https://www.bostonglobe.com/2025/04/08/metro/bridgewater-state-visa-revoked-trump/"">Click  here</a>"
Clark University,Massachusetts,12,"<a  href=""https://www.masslive.com/worcester/2025/04/12-students-from-worcesters-clark-university-have-visas-revoked.html"">Click  here</a>"
Emerson College,Massachusetts,1,"<a  href=""https://www.bostonglobe.com/2025/04/07/metro/emerson-student-visa-revoked/"">Click  here</a>"
Harvard University,Massachusetts,12,"<a  href=""https://www.google.com/url?rct=j&sa=t&url=https://www.thecrimson.com/article/2025/4/11/12-visas-revoked/&ct=ga&cd=CAAYBTIcNWFlZTJlZjQxYjBmZDY5Zjpjb206ZW46VVM6Ug&usg=AOvVaw1Ad_3XQtGWZdZlRrFquoXy"">Click  here</a>"
Massachusetts  Institute of Technology,Massachusetts,9,"<a  href=""https://links.mit.edu/nl3/T_WYfrb3r8Bw_VT9c98FwA?m=AU8AAGkNoaEAAcrtRwQAANRptbkAAAAAGqoAJe_2AAiQzwBn_XQnk3PjOP2fQMeQI1jV-fxZDAAIIWc&b=29c765aa&e=96b04217&x=bqvtNo15fDPbiKJJGmuLkA"">Click  here</a>"
Northeastern University,Massachusetts,40,"<a  href=""https://huntnewsnu.com/85762/campus/developing-state-department-revokes-several-northeastern-students-graduates-visas/"">Click  here</a>"
Tufts University,Massachusetts,2,"<a  href=""https://www.axios.com/local/boston/2025/04/07/emerson-harvard-student-visas"">Click  here</a>"
University  of Massachusetts Boston,Massachusetts,11,"<a  href=""https://umassmedia.com/38704/news/ice-revokes-umass-boston-visas/"">Click  here</a><br>"
"University  of Massachusetts, Amherst",Massachusetts,13,"<a  href=""https://www.masslive.com/news/2025/04/visas-revoked-for-13-umass-amherst-4-worcester-polytechnic-institute-students.html"">Click  here</a>"
"University  of Massachusetts, Lowell",Massachusetts,1,"<a  href=""https://insidelowell.com/umass-lowell-student-visa-revoked"">Click  here</a>"
Worcester Polytechnic  Institute,Massachusetts,4,"<a  href=""https://www.masslive.com/news/2025/04/visas-revoked-for-13-umass-amherst-4-worcester-polytechnic-institute-students.html"">Click  here</a>"
Central Michigan University,Michigan,7,"<a  href=""https://www.freep.com/story/news/education/2025/04/09/more-foreign-students-targeted-for-deportation/83013237007/"">Click  here</a>"
